item,intended_construct,Attraction_factor,Resonance_factor,Retention_factor,Conversion_factor,primary_factor,primary_loading,communality,uniqueness
Attraction_1,Attraction,0.7990533398694587,0.10682408652640202,0.012032636747978349,0.06673356660936136,Attraction,0.7990533398694587,0.6544957786782518,0.3455042213217482
Attraction_2,Attraction,0.7471805650702991,0.10125829263148721,0.08213967859893065,0.08042740403213663,Attraction,0.7471805650702991,0.5817475327650995,0.4182524672349005
Attraction_3,Attraction,0.583663126128586,0.1064143716241,-0.047870516795310646,0.12073126650856353,Attraction,0.583663126128586,0.36885428838135764,0.6311457116186423
Attraction_4,Attraction,0.8787713475661553,0.00961148423926846,0.08930476113980806,0.12389664180735169,Attraction,0.8787713475661553,0.7956571801458956,0.2043428198541044
Resonance_1,Resonance,0.04565912932581132,0.8401429903263192,0.049291532827109755,-0.0007308326412429012,Resonance,0.8401429903263192,0.7103551896100364,0.2896448103899636
Resonance_2,Resonance,0.172018258516847,0.6627042340083609,0.0042968898351808055,0.12509392695638946,Resonance,0.6627042340083609,0.48443413685940334,0.5155658631405966
Resonance_3,Resonance,0.060406723805763445,0.6952772537693639,0.06729628339512092,0.11703530108681078,Resonance,0.6952772537693639,0.5052854833492911,0.49471451665070887
Resonance_4,Resonance,-0.03351508194688715,0.38094106575348263,0.13433821987606703,0.11535986558885679,Resonance,0.38094106575348263,0.1775940122034554,0.8224059877965446
Resonance_5,Resonance,0.062358512131264206,0.8198318778193501,0.12746361968490463,0.07844414919876921,Resonance,0.8198318778193501,0.6984133508107235,0.30158664918927647
Retention_1,Retention,0.06322092234524056,-0.025787165471495645,0.8580659497638734,0.06317285030178796,Retention,0.8580659497638734,0.7449298460846674,0.2550701539153326
Retention_2,Retention,-0.07608167546476387,0.16204368632408492,0.3894670472748224,0.042970325388172415,Retention,0.3894670472748224,0.18557760739595824,0.8144223926040417
Retention_3,Retention,0.06121288332834323,0.016977721190980392,0.8198648284039878,0.016267732105660133,Retention,0.8198648284039878,0.6764782360639698,0.32352176393603016
Retention_4,Retention,0.07238879319237787,0.09696388803309702,0.7937760899334526,0.05609555955666344,Retention,0.7937760899334526,0.6478693257143596,0.3521306742856404
Retention_5,Retention,-0.004480519643493987,0.13281008399268165,0.8978416570330208,0.08342273222655508,Retention,0.8978416570330208,0.8307375868223629,0.16926241317763713
Conversion_1,Conversion,0.10440707799376599,0.12478041543991969,0.06704951858207936,0.6392824418724201,Conversion,0.6392824418724201,0.4396486684410081,0.5603513315589919
Conversion_2,Conversion,0.06333209882797938,0.0006920110004047064,0.09037564025326554,0.7092869082299926,Conversion,0.7092869082299926,0.5152671081588314,0.48473289184116863
Conversion_3,Conversion,0.14332768148474645,0.16752840098378396,0.14452919243336287,0.6122830238491959,Conversion,0.6122830238491959,0.4443877781753314,0.5556122218246686
Conversion_4,Conversion,0.13328179588461714,0.0979763291130342,0.009470608031646725,0.7213868539161765,Conversion,0.7213868539161765,0.5478520836002625,0.4521479163997375
Conversion_5,Conversion,0.13665343469161556,0.03765178692660535,0.11185045407500988,0.6841444703068014,Conversion,0.6841444703068014,0.5006559985999418,0.4993440014000582
